	Breast Cancer	Peripheral Neuropathy
E3 SUMO-PROTEIN LIGASE PIAS1	1	0
RADIXIN	1	0
EZRIN	1	0
CASPASE 8	1	0
INHIBIN ALPHA CHAIN	1	0
ALDEHYDE DEHYDROGENASE FAMILY 1 MEMBER A3	6	0
ALANINE AMINOTRANSFERASE	3	0
IL6 c.-661A>G (rs1800797)	2	0
MONOCYTE DIFFERENTIATION ANTIGEN CD14	8	0
ESR1 c.*1029T>C (rs3798577)	2	0
CYP1B1 c.1294C>G (rs1056836)	4	0
CYP19A1 c.790C>T (rs700519  )	3	0
SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 5	1	0
COMT c.472G>A (rs4680)	1	0
GSTP1 c.313A>G (rs1695)	1	0
ESR1 c.1096+29970G>C (rs9383951)	1	0
SENP1 c.1691+36C>T (rs12297820)	2	0
PARTIAL THROMBOPLASTIN TIME (PTT)	1	0
SIRT1 c.-1401T>C (rs12778366)	8	0
MTHFR c.665C>T (rs1801133)	1	0
MTHFR c.1286A>C (rs1801131)	1	0
KERATIN, TYPE I CYTOSKELETAL 19	23	0
ERBB2 c.3508C>G (rs1058808)	1	0
CHOLINE	6	0
CATENIN, BETA	10	0
MICRORNA 874	10	0
DODECANOIC ACID	1	0
9-TETRADECENOIC ACID	3	0
OLEIC ACID	3	0
TOTAL CHOLESTEROL/LDL-C RATIO	3	0
LRRC75A ANTISENSE RNA 1	1	0
TOTAL CHOLESTEROL/HDL-C RATIO	3	0
STEARIC ACID	3	0
LINOLEIC ACID/OLEIC ACID RATIO	3	0
LINOLEIC ACID	3	0
HDL-C	6	0
FATTY ACID DESATURASE 2	3	0
A DISINTEGRIN AND METALLOPROTEINASE WITH THROMBOSPONDIN MOTIFS 18	6	0
ANNEXIN A3	4	0
VERY LOW DENSITY LIPOPROTEIN	3	0
SONICHEDGEHOGPROTEIN	1	0
ANDROGEN RECEPTOR VARIANT 7	27	0
G1/S-SPECIFIC CYCLIN-D1	9	0
PUTATIVE PRE-MRNA-SPLICING FACTOR ATP-DEPENDENT RNA HELICASE DHX32	5	0
EXTRACELLULAR MATRIX METALLOPROTEINASE INDUCER	10	0
MONOCARBOXYLATE TRANSPORTER 5	10	0
MONOCARBOXYLATE TRANSPORTER 1	10	0
CD74 ANTIGEN	1	0
TYROSINE-PROTEIN KINASE JAK2	1	0
TRANSFERRIN RECEPTOR	1	0
KUNITZ-TYPE PROTEASE INHIBITOR 1	1	0
HIGH MOBILITY GROUP PROTEIN B1	1	0
HEMOPEXIN	1	0
FERRITIN LIGHT CHAIN	1	0
TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 11	2	0
18F-FLUORO-2-DEOXYGLUCOSE (18F-FDG)	9	0
ENDOTHELIAL CELL-SPECIFIC MOLECULE 1	6	0
CD274+CD8 CELLS	1	0
MOESIN	1	0
CD3+ T CELLS	4	0
PHOSPHATIDYLINOSITOL-3,4,5-TRISPHOSPHATE 3-PHOSPHATASE PTEN	10	0
THROMBIN TIME	1	0
MYELOID DIFFERENTIATION PRIMARY RESPONSE PROTEIN MYD88	1	0
HIGH-DENSITY LIPOPROTEIN (HDL)/LOW-DENSITY LIPOPROTEIN (LDL) RATIO	3	0
MYXOVIRUS RESISTANCE PROTEIN 1	2	0
MICRORNA 1267	4	0
FIBRINOGEN	6	0
MICRORNA 200B	3	0
FERRITIN HEAVY CHAIN	1	0
TRANSIENT RECEPTOR POTENTIAL CATION CHANNEL SUBFAMILY V MEMBER 2	7	0
IL6 c.-237C>G (rs1800795)	3	0
CASPASE 9	1	0
